Geographic_LATITUDE	Geographic_LONGITUDE	Geographic_NAME	Optional_LATITUDE1	Optional_LATITUDE2	Optional_LATITUDE3	Optional_LATITUDE4	Optional_LONGITUDE1	Optional_LONGITUDE2	Optional_LONGITUDE3	Optional_LONGITUDE4	Optional_NAME1	Optional_NAME2	Optional_NAME3	Optional_NAME4	GeoName_Count
43.55417	-85.80091	Newaygo County													1
															0
															0
															0
44.25029	-85.50033	Michigan	42.24698				-83.62272				Eastern Michigan University				2
															0
															0
															0
															0
															0
43.71833	-79.47667	North Park													1
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
41.83691	-87.68475	City of Chicago													1
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
38.43575	-122.71443	Church Built from One Tree													1
															0
															0
															
															
															
															
															
Unknown	Bethlehem	40.6259316	United States	810.0894737	19.24210526	38.75789474	185.6473684	22.65263158	211.6526316	16.68421053	17.80526316	12.03157895	43.51578947	"Alpha Sigma Tau Sorority House - The story goes that when this house was an estate, the maidservant, Alicia, got pregnant from the owner of the house. When he discovered her pregnancy, he threw her down the stairs (which no longer exist, although remnants can be seen in an upstairs closet) running from the attic to the kitchen. Alicia still haunts the house to this day. Noises have been heard throughout the house, the attic light, where Alicia lived,?ámysteriously goes on and off. The attic is just storage currently. Bedroom lights go on and off unexpectedly. Pictures of men are often turned around or covered. One sister had a male friend visit overnight. During the night, she was awoken by the bed shaking only to see him fast asleep. She also felt cold air in her ear and no one was there nor any window. Possibly unrelated to Alicia, one fish tank would leak in every room except when placed in the middle living room. A few years ago, several boys tried to spend the night in the attic at 2am they ran out screaming and never explained what terrified them. They refused to return to the house."	
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
40	-4	Kingdom of Spain													1
															0
															0
															0
															0
36.90551	-94.33925	Newton County													1
															0
															0
															0
															0
															0
															0
45.75746	-92.96243	Rock Creek	41.06395				-80.05645				Slippery Rock				2
															0
															0
40.87884	-79.84726	Borough of East Butler													1
															0
40.23981	-76.91997	Camp Hill													1
															0
															0
															0
															0
40.91818	-75.70882	Carbon County													1
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
37.39772	-121.79968	Alum Rock Park													1
															0
															0
															0
45.96541	-123.92414	US Route 101 & Beerman Creek Rd.													1
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
															0
40.44062	-79.99589	Pittsburgh													1
															0
															0
															0
															0
															0
															0
															0
36.0208	-115.5089	Mountain Springs													1
															0
															0
															0
															0
															0
															0
															0
31.95522	35.94503	Amman													1
															0
															0
															0
															0
															0
															0
41.63748	-73.21132	Town of Bethlehem													1
															0
															0
															0
41.63748	-73.21132	Town of Bethlehem													1
															0
															0
															0
															0
															0
															0
															0
															0
